x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
-3.114,0.306796,-0.95323,0.130865,-3.117,0.306796,-0.95454,0.107071,-0.9,-3.1201,0.153398,-0.95561,0.059484,-0.9,-3.1217,0.153398,-0.9562,0.029742,-0.9,-3.1232,0,-0.9565,0,-0.9,-3.1232,1.84078,-0.9565,-95.65,-0.9
-3.1094,0.460194,-0.95168,0.154658,-3.114,0.306796,-0.95323,0.130865,-0.9,-3.117,0.306796,-0.95454,0.107071,-0.9,-3.1201,0.153398,-0.95561,0.059484,-0.9,-3.1217,0.153398,-0.9562,0.029742,-0.9,-3.1232,0,-0.9565,0,-0.9
-3.1048,0.460194,-0.94978,0.190349,-3.1094,0.460194,-0.95168,0.154658,-0.9,-3.114,0.306796,-0.95323,0.130865,-0.9,-3.117,0.306796,-0.95454,0.107071,-0.9,-3.1201,0.153398,-0.95561,0.059484,-0.9,-3.1217,0.153398,-0.9562,0.029742,-0.9
-3.0986,0.613592,-0.94752,0.226039,-3.1048,0.460194,-0.94978,0.190349,-0.9,-3.1094,0.460194,-0.95168,0.154658,-0.9,-3.114,0.306796,-0.95323,0.130865,-0.9,-3.117,0.306796,-0.95454,0.107071,-0.9,-3.1201,0.153398,-0.95561,0.059484,-0.9
-3.0925,0.613592,-0.94508,0.243884,-3.0986,0.613592,-0.94752,0.226039,-0.9,-3.1048,0.460194,-0.94978,0.190349,-0.9,-3.1094,0.460194,-0.95168,0.154658,-0.9,-3.114,0.306796,-0.95323,0.130865,-0.9,-3.117,0.306796,-0.95454,0.107071,-0.9
-3.0848,0.76699,-0.94228,0.279575,-3.0925,0.613592,-0.94508,0.243884,-0.9,-3.0986,0.613592,-0.94752,0.226039,-0.9,-3.1048,0.460194,-0.94978,0.190349,-0.9,-3.1094,0.460194,-0.95168,0.154658,-0.9,-3.114,0.306796,-0.95323,0.130865,-0.9
-3.0772,0.76699,-0.93919,0.309317,-3.0848,0.76699,-0.94228,0.279575,-0.9,-3.0925,0.613592,-0.94508,0.243884,-0.9,-3.0986,0.613592,-0.94752,0.226039,-0.9,-3.1048,0.460194,-0.94978,0.190349,-0.9,-3.1094,0.460194,-0.95168,0.154658,-0.9
-3.0695,0.76699,-0.93592,0.327162,-3.0772,0.76699,-0.93919,0.309317,-0.9,-3.0848,0.76699,-0.94228,0.279575,-0.9,-3.0925,0.613592,-0.94508,0.243884,-0.9,-3.0986,0.613592,-0.94752,0.226039,-0.9,-3.1048,0.460194,-0.94978,0.190349,-0.9
-3.0603,0.920388,-0.93241,0.350956,-3.0695,0.76699,-0.93592,0.327162,-0.9,-3.0772,0.76699,-0.93919,0.309317,-0.9,-3.0848,0.76699,-0.94228,0.279575,-0.9,-3.0925,0.613592,-0.94508,0.243884,-0.9,-3.0986,0.613592,-0.94752,0.226039,-0.9
-3.0511,0.920388,-0.9286,0.380698,-3.0603,0.920388,-0.93241,0.350956,-0.9,-3.0695,0.76699,-0.93592,0.327162,-0.9,-3.0772,0.76699,-0.93919,0.309317,-0.9,-3.0848,0.76699,-0.94228,0.279575,-0.9,-3.0925,0.613592,-0.94508,0.243884,-0.9
-3.0419,0.920388,-0.92456,0.404491,-3.0511,0.920388,-0.9286,0.380698,-0.9,-3.0603,0.920388,-0.93241,0.350956,-0.9,-3.0695,0.76699,-0.93592,0.327162,-0.9,-3.0772,0.76699,-0.93919,0.309317,-0.9,-3.0848,0.76699,-0.94228,0.279575,-0.9
-3.0311,1.07379,-0.92039,0.416388,-3.0419,0.920388,-0.92456,0.404491,-0.9,-3.0511,0.920388,-0.9286,0.380698,-0.9,-3.0603,0.920388,-0.93241,0.350956,-0.9,-3.0695,0.76699,-0.93592,0.327162,-0.9,-3.0772,0.76699,-0.93919,0.309317,-0.9
-3.0219,0.920388,-0.91569,0.469924,-3.0311,1.07379,-0.92039,0.416388,-0.9,-3.0419,0.920388,-0.92456,0.404491,-0.9,-3.0511,0.920388,-0.9286,0.380698,-0.9,-3.0603,0.920388,-0.93241,0.350956,-0.9,-3.0695,0.76699,-0.93592,0.327162,-0.9
-3.0112,1.07379,-0.91123,0.44613,-3.0219,0.920388,-0.91569,0.469924,-0.9,-3.0311,1.07379,-0.92039,0.416388,-0.9,-3.0419,0.920388,-0.92456,0.404491,-0.9,-3.0511,0.920388,-0.9286,0.380698,-0.9,-3.0603,0.920388,-0.93241,0.350956,-0.9
-3.0005,1.07379,-0.90635,0.487769,-3.0112,1.07379,-0.91123,0.44613,-0.9,-3.0219,0.920388,-0.91569,0.469924,-0.9,-3.0311,1.07379,-0.92039,0.416388,-0.9,-3.0419,0.920388,-0.92456,0.404491,-0.9,-3.0511,0.920388,-0.9286,0.380698,-0.9
-2.9897,1.07379,-0.9013,0.505614,-3.0005,1.07379,-0.90635,0.487769,-0.9,-3.0112,1.07379,-0.91123,0.44613,-0.9,-3.0219,0.920388,-0.91569,0.469924,-0.9,-3.0311,1.07379,-0.92039,0.416388,-0.9,-3.0419,0.920388,-0.92456,0.404491,-0.9
-2.979,1.07379,-0.89595,0.535356,-2.9897,1.07379,-0.9013,0.505614,-0.9,-3.0005,1.07379,-0.90635,0.487769,-0.9,-3.0112,1.07379,-0.91123,0.44613,-0.9,-3.0219,0.920388,-0.91569,0.469924,-0.9,-3.0311,1.07379,-0.92039,0.416388,-0.9
-2.9683,1.07379,-0.89059,0.535356,-2.979,1.07379,-0.89595,0.535356,-0.9,-2.9897,1.07379,-0.9013,0.505614,-0.9,-3.0005,1.07379,-0.90635,0.487769,-0.9,-3.0112,1.07379,-0.91123,0.44613,-0.9,-3.0219,0.920388,-0.91569,0.469924,-0.9
-2.9575,1.07379,-0.885,0.55915,-2.9683,1.07379,-0.89059,0.535356,-0.9,-2.979,1.07379,-0.89595,0.535356,-0.9,-2.9897,1.07379,-0.9013,0.505614,-0.9,-3.0005,1.07379,-0.90635,0.487769,-0.9,-3.0112,1.07379,-0.91123,0.44613,-0.9
-2.9468,1.07379,-0.87923,0.576995,-2.9575,1.07379,-0.885,0.55915,-0.9,-2.9683,1.07379,-0.89059,0.535356,-0.9,-2.979,1.07379,-0.89595,0.535356,-0.9,-2.9897,1.07379,-0.9013,0.505614,-0.9,-3.0005,1.07379,-0.90635,0.487769,-0.9
-2.936,1.07379,-0.87334,0.588892,-2.9468,1.07379,-0.87923,0.576995,-0.9,-2.9575,1.07379,-0.885,0.55915,-0.9,-2.9683,1.07379,-0.89059,0.535356,-0.9,-2.979,1.07379,-0.89595,0.535356,-0.9,-2.9897,1.07379,-0.9013,0.505614,-0.9
-2.9253,1.07379,-0.86721,0.612685,-2.936,1.07379,-0.87334,0.588892,-0.9,-2.9468,1.07379,-0.87923,0.576995,-0.9,-2.9575,1.07379,-0.885,0.55915,-0.9,-2.9683,1.07379,-0.89059,0.535356,-0.9,-2.979,1.07379,-0.89595,0.535356,-0.9
-2.9146,1.07379,-0.86103,0.618634,-2.9253,1.07379,-0.86721,0.612685,-0.9,-2.936,1.07379,-0.87334,0.588892,-0.9,-2.9468,1.07379,-0.87923,0.576995,-0.9,-2.9575,1.07379,-0.885,0.55915,-0.9,-2.9683,1.07379,-0.89059,0.535356,-0.9
-2.9038,1.07379,-0.85472,0.63053,-2.9146,1.07379,-0.86103,0.618634,-0.9,-2.9253,1.07379,-0.86721,0.612685,-0.9,-2.936,1.07379,-0.87334,0.588892,-0.9,-2.9468,1.07379,-0.87923,0.576995,-0.9,-2.9575,1.07379,-0.885,0.55915,-0.9
-2.8946,0.920388,-0.84824,0.648376,-2.9038,1.07379,-0.85472,0.63053,-0.9,-2.9146,1.07379,-0.86103,0.618634,-0.9,-2.9253,1.07379,-0.86721,0.612685,-0.9,-2.936,1.07379,-0.87334,0.588892,-0.9,-2.9468,1.07379,-0.87923,0.576995,-0.9
-2.8839,1.07379,-0.84164,0.660272,-2.8946,0.920388,-0.84824,0.648376,-0.9,-2.9038,1.07379,-0.85472,0.63053,-0.9,-2.9146,1.07379,-0.86103,0.618634,-0.9,-2.9253,1.07379,-0.86721,0.612685,-0.9,-2.936,1.07379,-0.87334,0.588892,-0.9
-2.8747,0.920388,-0.83438,0.725705,-2.8839,1.07379,-0.84164,0.660272,-0.89218,-2.8946,0.920388,-0.84824,0.648376,-0.9,-2.9038,1.07379,-0.85472,0.63053,-0.9,-2.9146,1.07379,-0.86103,0.618634,-0.9,-2.9253,1.07379,-0.86721,0.612685,-0.9
-2.8655,0.920388,-0.82796,0.642427,-2.8747,0.920388,-0.83438,0.725705,-0.86063,-2.8839,1.07379,-0.84164,0.660272,-0.89218,-2.8946,0.920388,-0.84824,0.648376,-0.9,-2.9038,1.07379,-0.85472,0.63053,-0.9,-2.9146,1.07379,-0.86103,0.618634,-0.9
-2.8563,0.920388,-0.82058,0.737602,-2.8655,0.920388,-0.82796,0.642427,-0.84185,-2.8747,0.920388,-0.83438,0.725705,-0.86063,-2.8839,1.07379,-0.84164,0.660272,-0.89218,-2.8946,0.920388,-0.84824,0.648376,-0.9,-2.9038,1.07379,-0.85472,0.63053,-0.9
