x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3
2.9146,-0.15339808,0.052468,-0.053536,2.9161,-0.15339808,0.053003,-0.023794,0.28325,2.9176,-0.15339808,0.053241,0,0.28325,2.9192,6260.9426,0.053241,5.3241,0.28325
2.9115,-0.30679616,0.051575,-0.089226,2.9146,-0.15339808,0.052468,-0.053536,0.28325,2.9161,-0.15339808,0.053003,-0.023794,0.28325,2.9176,-0.15339808,0.053241,0,0.28325
2.91,-0.15339808,0.050326,-0.12492,2.9115,-0.30679616,0.051575,-0.089226,0.28325,2.9146,-0.15339808,0.052468,-0.053536,0.28325,2.9161,-0.15339808,0.053003,-0.023794,0.28325
2.9069,-0.30679616,0.048839,-0.14871,2.91,-0.15339808,0.050326,-0.12492,0.28325,2.9115,-0.30679616,0.051575,-0.089226,0.28325,2.9146,-0.15339808,0.052468,-0.053536,0.28325
2.9038,-0.30679616,0.046995,-0.1844,2.9069,-0.30679616,0.048839,-0.14871,0.28325,2.91,-0.15339808,0.050326,-0.12492,0.28325,2.9115,-0.30679616,0.051575,-0.089226,0.28325
2.9008,-0.30679616,0.044794,-0.22009,2.9038,-0.30679616,0.046995,-0.1844,0.28325,2.9069,-0.30679616,0.048839,-0.14871,0.28325,2.91,-0.15339808,0.050326,-0.12492,0.28325
2.8977,-0.30679616,0.042474,-0.23199,2.9008,-0.30679616,0.044794,-0.22009,0.28325,2.9038,-0.30679616,0.046995,-0.1844,0.28325,2.9069,-0.30679616,0.048839,-0.14871,0.28325
2.8946,-0.30679616,0.039857,-0.26173,2.8977,-0.30679616,0.042474,-0.23199,0.28325,2.9008,-0.30679616,0.044794,-0.22009,0.28325,2.9038,-0.30679616,0.046995,-0.1844,0.28325
2.8916,-0.30679616,0.036823,-0.30337,2.8946,-0.30679616,0.039857,-0.26173,0.28325,2.8977,-0.30679616,0.042474,-0.23199,0.28325,2.9008,-0.30679616,0.044794,-0.22009,0.28325
2.8885,-0.30679616,0.033611,-0.32121,2.8916,-0.30679616,0.036823,-0.30337,0.28325,2.8946,-0.30679616,0.039857,-0.26173,0.28325,2.8977,-0.30679616,0.042474,-0.23199,0.28325
2.887,-0.15339808,0.030042,-0.3569,2.8885,-0.30679616,0.033611,-0.32121,0.28325,2.8916,-0.30679616,0.036823,-0.30337,0.28325,2.8946,-0.30679616,0.039857,-0.26173,0.28325
2.8823,-0.46019424,0.025997,-0.40449,2.887,-0.15339808,0.030042,-0.3569,0.28325,2.8885,-0.30679616,0.033611,-0.32121,0.28325,2.8916,-0.30679616,0.036823,-0.30337,0.28325
2.8808,-0.15339808,0.022309,-0.3688,2.8823,-0.46019424,0.025997,-0.40449,0.28325,2.887,-0.15339808,0.030042,-0.3569,0.28325,2.8885,-0.30679616,0.033611,-0.32121,0.28325
2.8777,-0.30679616,0.018086,-0.42234,2.8808,-0.15339808,0.022309,-0.3688,0.28325,2.8823,-0.46019424,0.025997,-0.40449,0.28325,2.887,-0.15339808,0.030042,-0.3569,0.28325
2.8747,-0.30679616,0.013625,-0.44613,2.8777,-0.30679616,0.018086,-0.42234,0.28325,2.8808,-0.15339808,0.022309,-0.3688,0.28325,2.8823,-0.46019424,0.025997,-0.40449,0.28325
2.8731,-0.15339808,0.0089848,-0.46398,2.8747,-0.30679616,0.013625,-0.44613,0.28325,2.8777,-0.30679616,0.018086,-0.42234,0.28325,2.8808,-0.15339808,0.022309,-0.3688,0.28325
2.8701,-0.30679616,0.0041071,-0.48777,2.8731,-0.15339808,0.0089848,-0.46398,0.28325,2.8747,-0.30679616,0.013625,-0.44613,0.28325,2.8777,-0.30679616,0.018086,-0.42234,0.28325
2.8685,-0.15339808,-0.0010085,-0.51156,2.8701,-0.30679616,0.0041071,-0.48777,0.28325,2.8731,-0.15339808,0.0089848,-0.46398,0.28325,2.8747,-0.30679616,0.013625,-0.44613,0.28325
2.867,-0.15339808,-0.0063621,-0.53536,2.8685,-0.15339808,-0.0010085,-0.51156,0.28325,2.8701,-0.30679616,0.0041071,-0.48777,0.28325,2.8731,-0.15339808,0.0089848,-0.46398,0.28325
2.8655,-0.15339808,-0.011716,-0.53536,2.867,-0.15339808,-0.0063621,-0.53536,0.28325,2.8685,-0.15339808,-0.0010085,-0.51156,0.28325,2.8701,-0.30679616,0.0041071,-0.48777,0.28325
2.8639,-0.15339808,-0.017367,-0.5651,2.8655,-0.15339808,-0.011716,-0.53536,0.28325,2.867,-0.15339808,-0.0063621,-0.53536,0.28325,2.8685,-0.15339808,-0.0010085,-0.51156,0.28325
2.8639,0,-0.023196,-0.58294,2.8639,-0.15339808,-0.017367,-0.5651,0.28325,2.8655,-0.15339808,-0.011716,-0.53536,0.28325,2.867,-0.15339808,-0.0063621,-0.53536,0.28325
2.8624,-0.15339808,-0.029085,-0.58889,2.8639,0,-0.023196,-0.58294,0.28325,2.8639,-0.15339808,-0.017367,-0.5651,0.28325,2.8655,-0.15339808,-0.011716,-0.53536,0.28325
2.8624,0,-0.035271,-0.61863,2.8624,-0.15339808,-0.029085,-0.58889,0.28325,2.8639,0,-0.023196,-0.58294,0.28325,2.8639,-0.15339808,-0.017367,-0.5651,0.28325
2.8624,0,-0.041696,-0.64243,2.8624,0,-0.035271,-0.61863,0.28325,2.8624,-0.15339808,-0.029085,-0.58889,0.28325,2.8639,0,-0.023196,-0.58294,0.28325
2.8624,0,-0.048179,-0.64838,2.8624,0,-0.041696,-0.64243,0.28325,2.8624,0,-0.035271,-0.61863,0.28325,2.8624,-0.15339808,-0.029085,-0.58889,0.28325
2.8639,0.15339808,-0.054544,-0.63648,2.8624,0,-0.048179,-0.64838,0.28325,2.8624,0,-0.041696,-0.64243,0.28325,2.8624,0,-0.035271,-0.61863,0.28325
2.8655,0.15339808,-0.061325,-0.67812,2.8639,0.15339808,-0.054544,-0.63648,0.28325,2.8624,0,-0.048179,-0.64838,0.28325,2.8624,0,-0.041696,-0.64243,0.28325
2.867,0.15339808,-0.068404,-0.70786,2.8655,0.15339808,-0.061325,-0.67812,0.28325,2.8639,0.15339808,-0.054544,-0.63648,0.28325,2.8624,0,-0.048179,-0.64838,0.28325
2.8701,0.30679616,-0.075482,-0.70786,2.867,0.15339808,-0.068404,-0.70786,0.28325,2.8655,0.15339808,-0.061325,-0.67812,0.28325,2.8639,0.15339808,-0.054544,-0.63648,0.28325
