x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
-3.1339,0,-0.025159,-0.0059484,-3.1339,0,-0.0251,0,0.030207,-3.1339,0,-0.0251,0,0.022648,-3.1339,0,-0.0251,0,0.015093,-3.1339,0,-0.0251,0,0.0075434,-3.1339,629.0855,-0.0251,-2.51,0
-3.1339,0,-0.025159,0,-3.1339,0,-0.025159,-0.0059484,0.037768,-3.1339,0,-0.0251,0,0.030207,-3.1339,0,-0.0251,0,0.022648,-3.1339,0,-0.0251,0,0.015093,-3.1339,0,-0.0251,0,0.0075434
-3.1339,0,-0.025218,-0.0059484,-3.1339,0,-0.025159,0,0.045331,-3.1339,0,-0.025159,-0.0059484,0.037768,-3.1339,0,-0.0251,0,0.030207,-3.1339,0,-0.0251,0,0.022648,-3.1339,0,-0.0251,0,0.015093
-3.1339,0,-0.025337,-0.011897,-3.1339,0,-0.025218,-0.0059484,0.052895,-3.1339,0,-0.025159,0,0.045331,-3.1339,0,-0.025159,-0.0059484,0.037768,-3.1339,0,-0.0251,0,0.030207,-3.1339,0,-0.0251,0,0.022648
-3.1339,0,-0.025456,-0.011897,-3.1339,0,-0.025337,-0.011897,0.060457,-3.1339,0,-0.025218,-0.0059484,0.052895,-3.1339,0,-0.025159,0,0.045331,-3.1339,0,-0.025159,-0.0059484,0.037768,-3.1339,0,-0.0251,0,0.030207
-3.1339,0,-0.025694,-0.023794,-3.1339,0,-0.025456,-0.011897,0.068017,-3.1339,0,-0.025337,-0.011897,0.060457,-3.1339,0,-0.025218,-0.0059484,0.052895,-3.1339,0,-0.025159,0,0.045331,-3.1339,0,-0.025159,-0.0059484,0.037768
-3.1355,-0.1533981,-0.025992,-0.029742,-3.1339,0,-0.025694,-0.023794,0.075574,-3.1339,0,-0.025456,-0.011897,0.068017,-3.1339,0,-0.025337,-0.011897,0.060457,-3.1339,0,-0.025218,-0.0059484,0.052895,-3.1339,0,-0.025159,0,0.045331
-3.137,-0.1533981,-0.026408,-0.041639,-3.1355,-0.1533981,-0.025992,-0.029742,0.083126,-3.1339,0,-0.025694,-0.023794,0.075574,-3.1339,0,-0.025456,-0.011897,0.068017,-3.1339,0,-0.025337,-0.011897,0.060457,-3.1339,0,-0.025218,-0.0059484,0.052895
-3.137,0,-0.026884,-0.047587,-3.137,-0.1533981,-0.026408,-0.041639,0.090672,-3.1355,-0.1533981,-0.025992,-0.029742,0.083126,-3.1339,0,-0.025694,-0.023794,0.075574,-3.1339,0,-0.025456,-0.011897,0.068017,-3.1339,0,-0.025337,-0.011897,0.060457
-3.1401,-0.3067962,-0.027538,-0.065432,-3.137,0,-0.026884,-0.047587,0.098211,-3.137,-0.1533981,-0.026408,-0.041639,0.090672,-3.1355,-0.1533981,-0.025992,-0.029742,0.083126,-3.1339,0,-0.025694,-0.023794,0.075574,-3.1339,0,-0.025456,-0.011897,0.068017
3.1416,-0.1533981,-0.028312,-0.077329,-3.1401,-0.3067962,-0.027538,-0.065432,0.10574,-3.137,0,-0.026884,-0.047587,0.098211,-3.137,-0.1533981,-0.026408,-0.041639,0.090672,-3.1355,-0.1533981,-0.025992,-0.029742,0.083126,-3.1339,0,-0.025694,-0.023794,0.075574
3.1385,-0.3067962,-0.029204,-0.089226,3.1416,-0.1533981,-0.028312,-0.077329,0.11326,-3.1401,-0.3067962,-0.027538,-0.065432,0.10574,-3.137,0,-0.026884,-0.047587,0.098211,-3.137,-0.1533981,-0.026408,-0.041639,0.090672,-3.1355,-0.1533981,-0.025992,-0.029742,0.083126
3.137,-0.1533981,-0.030275,-0.10707,3.1385,-0.3067962,-0.029204,-0.089226,0.12077,3.1416,-0.1533981,-0.028312,-0.077329,0.11326,-3.1401,-0.3067962,-0.027538,-0.065432,0.10574,-3.137,0,-0.026884,-0.047587,0.098211,-3.137,-0.1533981,-0.026408,-0.041639,0.090672
3.1339,-0.3067962,-0.031464,-0.11897,3.137,-0.1533981,-0.030275,-0.10707,0.12827,3.1385,-0.3067962,-0.029204,-0.089226,0.12077,3.1416,-0.1533981,-0.028312,-0.077329,0.11326,-3.1401,-0.3067962,-0.027538,-0.065432,0.10574,-3.137,0,-0.026884,-0.047587,0.098211
3.1293,-0.4601942,-0.032892,-0.14276,3.1339,-0.3067962,-0.031464,-0.11897,0.13575,3.137,-0.1533981,-0.030275,-0.10707,0.12827,3.1385,-0.3067962,-0.029204,-0.089226,0.12077,3.1416,-0.1533981,-0.028312,-0.077329,0.11326,-3.1401,-0.3067962,-0.027538,-0.065432,0.10574
