x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3
-3.1416,0,0,0,-3.1416,0,0,0,0.012564,-3.1416,0,0,0,0.0062837,-3.1416,0.00393464,0,0,0
-3.1416,0,5.7053e-05,0.0057053,-3.1416,0,0,0,0.018836,-3.1416,0,0,0,0.012564,-3.1416,0,0,0,0.0062837
-3.1416,0,0.00011411,0.0057053,-3.1416,0,5.7053e-05,0.0057053,0.025092,-3.1416,0,0,0,0.018836,-3.1416,0,0,0,0.012564
-3.1416,0,0.00011411,0,-3.1416,0,0.00011411,0.0057053,0.031326,-3.1416,0,5.7053e-05,0.0057053,0.025092,-3.1416,0,0,0,0.018836
-3.1416,0,0.00017116,0.0057053,-3.1416,0,0.00011411,0,0.037532,-3.1416,0,0.00011411,0.0057053,0.031326,-3.1416,0,5.7053e-05,0.0057053,0.025092
-3.1416,0,0.00017116,0,-3.1416,0,0.00017116,0.0057053,0.043704,-3.1416,0,0.00011411,0,0.037532,-3.1416,0,0.00011411,0.0057053,0.031326
-3.1416,0,0.00022821,0.0057053,-3.1416,0,0.00017116,0,0.049835,-3.1416,0,0.00017116,0.0057053,0.043704,-3.1416,0,0.00011411,0,0.037532
3.1401,-0.1534,0.00028526,0.0057053,-3.1416,0,0.00022821,0.0057053,0.05592,-3.1416,0,0.00017116,0,0.049835,-3.1416,0,0.00017116,0.0057053,0.043704
3.1401,0,0.00034232,0.0057053,3.1401,-0.1534,0.00028526,0.0057053,0.061953,-3.1416,0,0.00022821,0.0057053,0.05592,-3.1416,0,0.00017116,0,0.049835
3.1401,0,0.00051348,0.017116,3.1401,0,0.00034232,0.0057053,0.067926,3.1401,-0.1534,0.00028526,0.0057053,0.061953,-3.1416,0,0.00022821,0.0057053,0.05592
3.1386,-0.1534,0.00074169,0.022821,3.1401,0,0.00051348,0.017116,0.073835,3.1401,0,0.00034232,0.0057053,0.067926,3.1401,-0.1534,0.00028526,0.0057053,0.061953
3.1386,0,0.001027,0.028526,3.1386,-0.1534,0.00074169,0.022821,0.079673,3.1401,0,0.00051348,0.017116,0.073835,3.1401,0,0.00034232,0.0057053,0.067926
3.137,-0.1534,0.0013693,0.034232,3.1386,0,0.001027,0.028526,0.085434,3.1386,-0.1534,0.00074169,0.022821,0.079673,3.1401,0,0.00051348,0.017116,0.073835
3.1355,-0.1534,0.0018257,0.045642,3.137,-0.1534,0.0013693,0.034232,0.091113,3.1386,0,0.001027,0.028526,0.085434,3.1386,-0.1534,0.00074169,0.022821,0.079673
3.134,-0.1534,0.0023962,0.057053,3.1355,-0.1534,0.0018257,0.045642,0.096703,3.137,-0.1534,0.0013693,0.034232,0.091113,3.1386,0,0.001027,0.028526,0.085434
3.1324,-0.1534,0.0030809,0.068464,3.134,-0.1534,0.0023962,0.057053,0.1022,3.1355,-0.1534,0.0018257,0.045642,0.096703,3.137,-0.1534,0.0013693,0.034232,0.091113
3.1294,-0.3068,0.0038796,0.079874,3.1324,-0.1534,0.0030809,0.068464,0.10759,3.134,-0.1534,0.0023962,0.057053,0.1022,3.1355,-0.1534,0.0018257,0.045642,0.096703
3.1263,-0.3068,0.0047925,0.091285,3.1294,-0.3068,0.0038796,0.079874,0.11289,3.1324,-0.1534,0.0030809,0.068464,0.10759,3.134,-0.1534,0.0023962,0.057053,0.1022
3.1232,-0.3068,0.0058765,0.1084,3.1263,-0.3068,0.0047925,0.091285,0.11806,3.1294,-0.3068,0.0038796,0.079874,0.11289,3.1324,-0.1534,0.0030809,0.068464,0.10759
3.1202,-0.3068,0.0070746,0.11981,3.1232,-0.3068,0.0058765,0.1084,0.12313,3.1263,-0.3068,0.0047925,0.091285,0.11806,3.1294,-0.3068,0.0038796,0.079874,0.11289
3.1156,-0.4602,0.0083868,0.13122,3.1202,-0.3068,0.0070746,0.11981,0.12807,3.1232,-0.3068,0.0058765,0.1084,0.12313,3.1263,-0.3068,0.0047925,0.091285,0.11806
