x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
-3.1262,0.6136,-0.0045642,-0.15404,-3.1323,0.3068,-0.0030238,-0.12552,-0.2,-3.1354,0.3068,-0.0017686,-0.09699,-0.2,-3.1385,0.3068,-0.00079874,-0.062758,-0.2,-3.1416,0,-0.00017116,-0.017116,-0.2,-3.1416,0.00393464,0,0,-0.2
-3.1201,0.6136,-0.0063899,-0.18257,-3.1262,0.6136,-0.0045642,-0.15404,-0.2,-3.1323,0.3068,-0.0030238,-0.12552,-0.2,-3.1354,0.3068,-0.0017686,-0.09699,-0.2,-3.1385,0.3068,-0.00079874,-0.062758,-0.2,-3.1416,0,-0.00017116,-0.017116,-0.2
-3.1139,0.6136,-0.0085579,-0.2168,-3.1201,0.6136,-0.0063899,-0.18257,-0.2,-3.1262,0.6136,-0.0045642,-0.15404,-0.2,-3.1323,0.3068,-0.0030238,-0.12552,-0.2,-3.1354,0.3068,-0.0017686,-0.09699,-0.2,-3.1385,0.3068,-0.00079874,-0.062758,-0.2
-3.1063,0.767,-0.011011,-0.24533,-3.1139,0.6136,-0.0085579,-0.2168,-0.2,-3.1201,0.6136,-0.0063899,-0.18257,-0.2,-3.1262,0.6136,-0.0045642,-0.15404,-0.2,-3.1323,0.3068,-0.0030238,-0.12552,-0.2,-3.1354,0.3068,-0.0017686,-0.09699,-0.2
-3.0971,0.9204,-0.013693,-0.26815,-3.1063,0.767,-0.011011,-0.24533,-0.2,-3.1139,0.6136,-0.0085579,-0.2168,-0.2,-3.1201,0.6136,-0.0063899,-0.18257,-0.2,-3.1262,0.6136,-0.0045642,-0.15404,-0.2,-3.1323,0.3068,-0.0030238,-0.12552,-0.2
-3.0879,0.9204,-0.016659,-0.29668,-3.0971,0.9204,-0.013693,-0.26815,-0.2,-3.1063,0.767,-0.011011,-0.24533,-0.2,-3.1139,0.6136,-0.0085579,-0.2168,-0.2,-3.1201,0.6136,-0.0063899,-0.18257,-0.2,-3.1262,0.6136,-0.0045642,-0.15404,-0.2
-3.0787,0.9204,-0.019911,-0.3252,-3.0879,0.9204,-0.016659,-0.29668,-0.2,-3.0971,0.9204,-0.013693,-0.26815,-0.2,-3.1063,0.767,-0.011011,-0.24533,-0.2,-3.1139,0.6136,-0.0085579,-0.2168,-0.2,-3.1201,0.6136,-0.0063899,-0.18257,-0.2
-3.0679,1.0738,-0.023449,-0.35373,-3.0787,0.9204,-0.019911,-0.3252,-0.2,-3.0879,0.9204,-0.016659,-0.29668,-0.2,-3.0971,0.9204,-0.013693,-0.26815,-0.2,-3.1063,0.767,-0.011011,-0.24533,-0.2,-3.1139,0.6136,-0.0085579,-0.2168,-0.2
-3.0572,1.0738,-0.027157,-0.37084,-3.0679,1.0738,-0.023449,-0.35373,-0.2,-3.0787,0.9204,-0.019911,-0.3252,-0.2,-3.0879,0.9204,-0.016659,-0.29668,-0.2,-3.0971,0.9204,-0.013693,-0.26815,-0.2,-3.1063,0.767,-0.011011,-0.24533,-0.2
-3.0449,1.2272,-0.031208,-0.40508,-3.0572,1.0738,-0.027157,-0.37084,-0.2,-3.0679,1.0738,-0.023449,-0.35373,-0.2,-3.0787,0.9204,-0.019911,-0.3252,-0.2,-3.0879,0.9204,-0.016659,-0.29668,-0.2,-3.0971,0.9204,-0.013693,-0.26815,-0.2
-3.0326,1.2272,-0.03543,-0.42219,-3.0449,1.2272,-0.031208,-0.40508,-0.2,-3.0572,1.0738,-0.027157,-0.37084,-0.2,-3.0679,1.0738,-0.023449,-0.35373,-0.2,-3.0787,0.9204,-0.019911,-0.3252,-0.2,-3.0879,0.9204,-0.016659,-0.29668,-0.2
-3.0204,1.2272,-0.039937,-0.45072,-3.0326,1.2272,-0.03543,-0.42219,-0.2,-3.0449,1.2272,-0.031208,-0.40508,-0.2,-3.0572,1.0738,-0.027157,-0.37084,-0.2,-3.0679,1.0738,-0.023449,-0.35373,-0.2,-3.0787,0.9204,-0.019911,-0.3252,-0.2
-3.0081,1.2272,-0.044672,-0.47354,-3.0204,1.2272,-0.039937,-0.45072,-0.2,-3.0326,1.2272,-0.03543,-0.42219,-0.2,-3.0449,1.2272,-0.031208,-0.40508,-0.2,-3.0572,1.0738,-0.027157,-0.37084,-0.2,-3.0679,1.0738,-0.023449,-0.35373,-0.2
