x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
3.1294,-0.4602,0.0036514,0.12552,3.134,-0.3068,0.0023962,0.09699,0.16232,3.137,-0.3068,0.0014263,0.079874,0.16232,3.1401,-0.1534,0.00062758,0.045642,0.16232,-3.1416,0,0.00017116,0.017116,0.16232,-3.1416,0.00393464,0,0,0.16232
3.1248,-0.4602,0.0050777,0.14263,3.1294,-0.4602,0.0036514,0.12552,0.16232,3.134,-0.3068,0.0023962,0.09699,0.16232,3.137,-0.3068,0.0014263,0.079874,0.16232,3.1401,-0.1534,0.00062758,0.045642,0.16232,-3.1416,0,0.00017116,0.017116,0.16232
3.1202,-0.4602,0.0067893,0.17116,3.1248,-0.4602,0.0050777,0.14263,0.16232,3.1294,-0.4602,0.0036514,0.12552,0.16232,3.134,-0.3068,0.0023962,0.09699,0.16232,3.137,-0.3068,0.0014263,0.079874,0.16232,3.1401,-0.1534,0.00062758,0.045642,0.16232
3.114,-0.6136,0.0086721,0.18827,3.1202,-0.4602,0.0067893,0.17116,0.16232,3.1248,-0.4602,0.0050777,0.14263,0.16232,3.1294,-0.4602,0.0036514,0.12552,0.16232,3.134,-0.3068,0.0023962,0.09699,0.16232,3.137,-0.3068,0.0014263,0.079874,0.16232
3.1079,-0.6136,0.010783,0.2111,3.114,-0.6136,0.0086721,0.18827,0.16232,3.1202,-0.4602,0.0067893,0.17116,0.16232,3.1248,-0.4602,0.0050777,0.14263,0.16232,3.1294,-0.4602,0.0036514,0.12552,0.16232,3.134,-0.3068,0.0023962,0.09699,0.16232
3.1002,-0.767,0.013065,0.22821,3.1079,-0.6136,0.010783,0.2111,0.16232,3.114,-0.6136,0.0086721,0.18827,0.16232,3.1202,-0.4602,0.0067893,0.17116,0.16232,3.1248,-0.4602,0.0050777,0.14263,0.16232,3.1294,-0.4602,0.0036514,0.12552,0.16232
3.0925,-0.767,0.015575,0.25103,3.1002,-0.767,0.013065,0.22821,0.16232,3.1079,-0.6136,0.010783,0.2111,0.16232,3.114,-0.6136,0.0086721,0.18827,0.16232,3.1202,-0.4602,0.0067893,0.17116,0.16232,3.1248,-0.4602,0.0050777,0.14263,0.16232
3.0849,-0.767,0.018314,0.27385,3.0925,-0.767,0.015575,0.25103,0.16232,3.1002,-0.767,0.013065,0.22821,0.16232,3.1079,-0.6136,0.010783,0.2111,0.16232,3.114,-0.6136,0.0086721,0.18827,0.16232,3.1202,-0.4602,0.0067893,0.17116,0.16232
3.0757,-0.9204,0.021224,0.29097,3.0849,-0.767,0.018314,0.27385,0.16232,3.0925,-0.767,0.015575,0.25103,0.16232,3.1002,-0.767,0.013065,0.22821,0.16232,3.1079,-0.6136,0.010783,0.2111,0.16232,3.114,-0.6136,0.0086721,0.18827,0.16232
3.0665,-0.9204,0.024305,0.30809,3.0757,-0.9204,0.021224,0.29097,0.16232,3.0849,-0.767,0.018314,0.27385,0.16232,3.0925,-0.767,0.015575,0.25103,0.16232,3.1002,-0.767,0.013065,0.22821,0.16232,3.1079,-0.6136,0.010783,0.2111,0.16232
3.0573,-0.9204,0.027614,0.33091,3.0665,-0.9204,0.024305,0.30809,0.16232,3.0757,-0.9204,0.021224,0.29097,0.16232,3.0849,-0.767,0.018314,0.27385,0.16232,3.0925,-0.767,0.015575,0.25103,0.16232,3.1002,-0.767,0.013065,0.22821,0.16232
3.0481,-0.9204,0.031094,0.34802,3.0573,-0.9204,0.027614,0.33091,0.16232,3.0665,-0.9204,0.024305,0.30809,0.16232,3.0757,-0.9204,0.021224,0.29097,0.16232,3.0849,-0.767,0.018314,0.27385,0.16232,3.0925,-0.767,0.015575,0.25103,0.16232
3.0373,-1.0738,0.034688,0.35943,3.0481,-0.9204,0.031094,0.34802,0.16232,3.0573,-0.9204,0.027614,0.33091,0.16232,3.0665,-0.9204,0.024305,0.30809,0.16232,3.0757,-0.9204,0.021224,0.29097,0.16232,3.0849,-0.767,0.018314,0.27385,0.16232
3.0266,-1.0738,0.038511,0.38226,3.0373,-1.0738,0.034688,0.35943,0.16232,3.0481,-0.9204,0.031094,0.34802,0.16232,3.0573,-0.9204,0.027614,0.33091,0.16232,3.0665,-0.9204,0.024305,0.30809,0.16232,3.0757,-0.9204,0.021224,0.29097,0.16232
3.0174,-0.9204,0.042504,0.39937,3.0266,-1.0738,0.038511,0.38226,0.16232,3.0373,-1.0738,0.034688,0.35943,0.16232,3.0481,-0.9204,0.031094,0.34802,0.16232,3.0573,-0.9204,0.027614,0.33091,0.16232,3.0665,-0.9204,0.024305,0.30809,0.16232
3.0066,-1.0738,0.046669,0.41649,3.0174,-0.9204,0.042504,0.39937,0.16232,3.0266,-1.0738,0.038511,0.38226,0.16232,3.0373,-1.0738,0.034688,0.35943,0.16232,3.0481,-0.9204,0.031094,0.34802,0.16232,3.0573,-0.9204,0.027614,0.33091,0.16232
2.9959,-1.0738,0.051005,0.4336,3.0066,-1.0738,0.046669,0.41649,0.16232,3.0174,-0.9204,0.042504,0.39937,0.16232,3.0266,-1.0738,0.038511,0.38226,0.16232,3.0373,-1.0738,0.034688,0.35943,0.16232,3.0481,-0.9204,0.031094,0.34802,0.16232
2.9852,-1.0738,0.055456,0.44501,2.9959,-1.0738,0.051005,0.4336,0.16232,3.0066,-1.0738,0.046669,0.41649,0.16232,3.0174,-0.9204,0.042504,0.39937,0.16232,3.0266,-1.0738,0.038511,0.38226,0.16232,3.0373,-1.0738,0.034688,0.35943,0.16232
2.9744,-1.0738,0.060077,0.46213,2.9852,-1.0738,0.055456,0.44501,0.16232,2.9959,-1.0738,0.051005,0.4336,0.16232,3.0066,-1.0738,0.046669,0.41649,0.16232,3.0174,-0.9204,0.042504,0.39937,0.16232,3.0266,-1.0738,0.038511,0.38226,0.16232
2.9637,-1.0738,0.064869,0.47925,2.9744,-1.0738,0.060077,0.46213,0.16232,2.9852,-1.0738,0.055456,0.44501,0.16232,2.9959,-1.0738,0.051005,0.4336,0.16232,3.0066,-1.0738,0.046669,0.41649,0.16232,3.0174,-0.9204,0.042504,0.39937,0.16232
