x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3
3.137,-0.3068,0.0013122,0.068464,3.1401,-0.1534,0.00062758,0.045642,0.1542,-3.1416,0,0.00017116,0.017116,0.1542,-3.1416,0.00393464,0,0,0.1542
3.134,-0.3068,0.0022821,0.09699,3.137,-0.3068,0.0013122,0.068464,0.1542,3.1401,-0.1534,0.00062758,0.045642,0.1542,-3.1416,0,0.00017116,0.017116,0.1542
3.1309,-0.3068,0.0034232,0.11411,3.134,-0.3068,0.0022821,0.09699,0.1542,3.137,-0.3068,0.0013122,0.068464,0.1542,3.1401,-0.1534,0.00062758,0.045642,0.1542
3.1263,-0.4602,0.0047925,0.13693,3.1309,-0.3068,0.0034232,0.11411,0.1542,3.134,-0.3068,0.0022821,0.09699,0.1542,3.137,-0.3068,0.0013122,0.068464,0.1542
3.1217,-0.4602,0.0063899,0.15975,3.1263,-0.4602,0.0047925,0.13693,0.1542,3.1309,-0.3068,0.0034232,0.11411,0.1542,3.134,-0.3068,0.0022821,0.09699,0.1542
3.1156,-0.6136,0.0081586,0.17686,3.1217,-0.4602,0.0063899,0.15975,0.1542,3.1263,-0.4602,0.0047925,0.13693,0.1542,3.1309,-0.3068,0.0034232,0.11411,0.1542
3.1094,-0.6136,0.010155,0.19969,3.1156,-0.6136,0.0081586,0.17686,0.1542,3.1217,-0.4602,0.0063899,0.15975,0.1542,3.1263,-0.4602,0.0047925,0.13693,0.1542
3.1017,-0.767,0.012323,0.2168,3.1094,-0.6136,0.010155,0.19969,0.1542,3.1156,-0.6136,0.0081586,0.17686,0.1542,3.1217,-0.4602,0.0063899,0.15975,0.1542
3.0956,-0.6136,0.014663,0.23392,3.1017,-0.767,0.012323,0.2168,0.1542,3.1094,-0.6136,0.010155,0.19969,0.1542,3.1156,-0.6136,0.0081586,0.17686,0.1542
3.0879,-0.767,0.01723,0.25674,3.0956,-0.6136,0.014663,0.23392,0.1542,3.1017,-0.767,0.012323,0.2168,0.1542,3.1094,-0.6136,0.010155,0.19969,0.1542
3.0803,-0.767,0.019911,0.26815,3.0879,-0.767,0.01723,0.25674,0.1542,3.0956,-0.6136,0.014663,0.23392,0.1542,3.1017,-0.767,0.012323,0.2168,0.1542
3.0711,-0.9204,0.022821,0.29097,3.0803,-0.767,0.019911,0.26815,0.1542,3.0879,-0.767,0.01723,0.25674,0.1542,3.0956,-0.6136,0.014663,0.23392,0.1542
3.0619,-0.9204,0.025902,0.30809,3.0711,-0.9204,0.022821,0.29097,0.1542,3.0803,-0.767,0.019911,0.26815,0.1542,3.0879,-0.767,0.01723,0.25674,0.1542
3.0527,-0.9204,0.029154,0.3252,3.0619,-0.9204,0.025902,0.30809,0.1542,3.0711,-0.9204,0.022821,0.29097,0.1542,3.0803,-0.767,0.019911,0.26815,0.1542
3.0435,-0.9204,0.032577,0.34232,3.0527,-0.9204,0.029154,0.3252,0.1542,3.0619,-0.9204,0.025902,0.30809,0.1542,3.0711,-0.9204,0.022821,0.29097,0.1542
3.0343,-0.9204,0.036172,0.35943,3.0435,-0.9204,0.032577,0.34232,0.1542,3.0527,-0.9204,0.029154,0.3252,0.1542,3.0619,-0.9204,0.025902,0.30809,0.1542
3.025,-0.9204,0.03988,0.37084,3.0343,-0.9204,0.036172,0.35943,0.1542,3.0435,-0.9204,0.032577,0.34232,0.1542,3.0527,-0.9204,0.029154,0.3252,0.1542
3.0143,-1.0738,0.04376,0.38796,3.025,-0.9204,0.03988,0.37084,0.1542,3.0343,-0.9204,0.036172,0.35943,0.1542,3.0435,-0.9204,0.032577,0.34232,0.1542
3.0051,-0.9204,0.04781,0.40508,3.0143,-1.0738,0.04376,0.38796,0.1542,3.025,-0.9204,0.03988,0.37084,0.1542,3.0343,-0.9204,0.036172,0.35943,0.1542
2.9944,-1.0738,0.051975,0.41649,3.0051,-0.9204,0.04781,0.40508,0.1542,3.0143,-1.0738,0.04376,0.38796,0.1542,3.025,-0.9204,0.03988,0.37084,0.1542
2.9852,-0.9204,0.056311,0.4336,2.9944,-1.0738,0.051975,0.41649,0.1542,3.0051,-0.9204,0.04781,0.40508,0.1542,3.0143,-1.0738,0.04376,0.38796,0.1542
2.9744,-1.0738,0.060818,0.45072,2.9852,-0.9204,0.056311,0.4336,0.1542,2.9944,-1.0738,0.051975,0.41649,0.1542,3.0051,-0.9204,0.04781,0.40508,0.1542
2.9652,-0.9204,0.065383,0.45642,2.9744,-1.0738,0.060818,0.45072,0.1542,2.9852,-0.9204,0.056311,0.4336,0.1542,2.9944,-1.0738,0.051975,0.41649,0.1542
2.956,-0.9204,0.070175,0.47925,2.9652,-0.9204,0.065383,0.45642,0.1542,2.9744,-1.0738,0.060818,0.45072,0.1542,2.9852,-0.9204,0.056311,0.4336,0.1542
2.9468,-0.9204,0.075025,0.48495,2.956,-0.9204,0.070175,0.47925,0.1542,2.9652,-0.9204,0.065383,0.45642,0.1542,2.9744,-1.0738,0.060818,0.45072,0.1542
2.9376,-0.9204,0.080045,0.50207,2.9468,-0.9204,0.075025,0.48495,0.1542,2.956,-0.9204,0.070175,0.47925,0.1542,2.9652,-0.9204,0.065383,0.45642,0.1542
2.9284,-0.9204,0.085237,0.51918,2.9376,-0.9204,0.080045,0.50207,0.1542,2.9468,-0.9204,0.075025,0.48495,0.1542,2.956,-0.9204,0.070175,0.47925,0.1542
2.9192,-0.9204,0.090543,0.53059,2.9284,-0.9204,0.085237,0.51918,0.1542,2.9376,-0.9204,0.080045,0.50207,0.1542,2.9468,-0.9204,0.075025,0.48495,0.1542
2.91,-0.9204,0.095963,0.542,2.9192,-0.9204,0.090543,0.53059,0.1542,2.9284,-0.9204,0.085237,0.51918,0.1542,2.9376,-0.9204,0.080045,0.50207,0.1542
2.9023,-0.767,0.10155,0.55912,2.91,-0.9204,0.095963,0.542,0.1542,2.9192,-0.9204,0.090543,0.53059,0.1542,2.9284,-0.9204,0.085237,0.51918,0.1542
2.8947,-0.767,0.10726,0.57053,2.9023,-0.767,0.10155,0.55912,0.1542,2.91,-0.9204,0.095963,0.542,0.1542,2.9192,-0.9204,0.090543,0.53059,0.1542
2.887,-0.767,0.11308,0.58194,2.8947,-0.767,0.10726,0.57053,0.1542,2.9023,-0.767,0.10155,0.55912,0.1542,2.91,-0.9204,0.095963,0.542,0.1542
2.8793,-0.767,0.11907,0.59906,2.887,-0.767,0.11308,0.58194,0.1542,2.8947,-0.767,0.10726,0.57053,0.1542,2.9023,-0.767,0.10155,0.55912,0.1542
2.8732,-0.6136,0.12517,0.61047,2.8793,-0.767,0.11907,0.59906,0.1542,2.887,-0.767,0.11308,0.58194,0.1542,2.8947,-0.767,0.10726,0.57053,0.1542
2.867,-0.6136,0.13145,0.62758,2.8732,-0.6136,0.12517,0.61047,0.1542,2.8793,-0.767,0.11907,0.59906,0.1542,2.887,-0.767,0.11308,0.58194,0.1542
2.8609,-0.6136,0.13778,0.63329,2.867,-0.6136,0.13145,0.62758,0.1542,2.8732,-0.6136,0.12517,0.61047,0.1542,2.8793,-0.767,0.11907,0.59906,0.1542
2.8548,-0.6136,0.14434,0.65611,2.8609,-0.6136,0.13778,0.63329,0.1542,2.867,-0.6136,0.13145,0.62758,0.1542,2.8732,-0.6136,0.12517,0.61047,0.1542
2.8502,-0.4602,0.15096,0.66181,2.8548,-0.6136,0.14434,0.65611,0.1542,2.8609,-0.6136,0.13778,0.63329,0.1542,2.867,-0.6136,0.13145,0.62758,0.1542
2.8456,-0.4602,0.15775,0.67893,2.8502,-0.4602,0.15096,0.66181,0.1542,2.8548,-0.6136,0.14434,0.65611,0.1542,2.8609,-0.6136,0.13778,0.63329,0.1542
2.8425,-0.3068,0.16465,0.69034,2.8456,-0.4602,0.15775,0.67893,0.1542,2.8502,-0.4602,0.15096,0.66181,0.1542,2.8548,-0.6136,0.14434,0.65611,0.1542
2.8379,-0.4602,0.17167,0.70175,2.8425,-0.3068,0.16465,0.69034,0.1542,2.8456,-0.4602,0.15775,0.67893,0.1542,2.8502,-0.4602,0.15096,0.66181,0.1542
2.8364,-0.1534,0.17886,0.71887,2.8379,-0.4602,0.17167,0.70175,0.15708,2.8425,-0.3068,0.16465,0.69034,0.1542,2.8456,-0.4602,0.15775,0.67893,0.1542
2.8333,-0.3068,0.18616,0.73028,2.8364,-0.1534,0.17886,0.71887,0.15708,2.8379,-0.4602,0.17167,0.70175,0.15708,2.8425,-0.3068,0.16465,0.69034,0.1542
2.8318,-0.1534,0.19364,0.74739,2.8333,-0.3068,0.18616,0.73028,0.15708,2.8364,-0.1534,0.17886,0.71887,0.15708,2.8379,-0.4602,0.17167,0.70175,0.15708
2.8302,-0.1534,0.20123,0.7588,2.8318,-0.1534,0.19364,0.74739,0.15708,2.8333,-0.3068,0.18616,0.73028,0.15708,2.8364,-0.1534,0.17886,0.71887,0.15708
