x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
-3.1293,-0.3067962,-0.019627,-0.13086,-3.1263,-0.1533981,-0.018318,-0.10112,0.28325,-3.1247,-0.1533981,-0.017307,-0.053536,0.28325,-3.1232,0,-0.016772,-0.029742,0.28325,-3.1232,0.1533981,-0.016474,0,0.28325,-3.1247,-626.6312,-0.016474,-1.6474,0.28325
-3.1339,-0.4601942,-0.021293,-0.16656,-3.1293,-0.3067962,-0.019627,-0.13086,0.28325,-3.1263,-0.1533981,-0.018318,-0.10112,0.28325,-3.1247,-0.1533981,-0.017307,-0.053536,0.28325,-3.1232,0,-0.016772,-0.029742,0.28325,-3.1232,0.1533981,-0.016474,0,0.28325
-3.1385,-0.4601942,-0.023374,-0.20819,-3.1339,-0.4601942,-0.021293,-0.16656,0.28325,-3.1293,-0.3067962,-0.019627,-0.13086,0.28325,-3.1263,-0.1533981,-0.018318,-0.10112,0.28325,-3.1247,-0.1533981,-0.017307,-0.053536,0.28325,-3.1232,0,-0.016772,-0.029742,0.28325
3.1385,-0.6135923,-0.025813,-0.24388,-3.1385,-0.4601942,-0.023374,-0.20819,0.28325,-3.1339,-0.4601942,-0.021293,-0.16656,0.28325,-3.1293,-0.3067962,-0.019627,-0.13086,0.28325,-3.1263,-0.1533981,-0.018318,-0.10112,0.28325,-3.1247,-0.1533981,-0.017307,-0.053536,0.28325
3.1309,-0.7669904,-0.028252,-0.24388,3.1385,-0.6135923,-0.025813,-0.24388,0.28325,-3.1385,-0.4601942,-0.023374,-0.20819,0.28325,-3.1339,-0.4601942,-0.021293,-0.16656,0.28325,-3.1293,-0.3067962,-0.019627,-0.13086,0.28325,-3.1263,-0.1533981,-0.018318,-0.10112,0.28325
3.1247,-0.6135923,-0.031167,-0.29147,3.1309,-0.7669904,-0.028252,-0.24388,0.28325,3.1385,-0.6135923,-0.025813,-0.24388,0.28325,-3.1385,-0.4601942,-0.023374,-0.20819,0.28325,-3.1339,-0.4601942,-0.021293,-0.16656,0.28325,-3.1293,-0.3067962,-0.019627,-0.13086,0.28325
3.1155,-0.9203885,-0.034379,-0.32121,3.1247,-0.6135923,-0.031167,-0.29147,0.28325,3.1309,-0.7669904,-0.028252,-0.24388,0.28325,3.1385,-0.6135923,-0.025813,-0.24388,0.28325,-3.1385,-0.4601942,-0.023374,-0.20819,0.28325,-3.1339,-0.4601942,-0.021293,-0.16656,0.28325
3.1078,-0.7669904,-0.037829,-0.34501,3.1155,-0.9203885,-0.034379,-0.32121,0.28325,3.1247,-0.6135923,-0.031167,-0.29147,0.28325,3.1309,-0.7669904,-0.028252,-0.24388,0.28325,3.1385,-0.6135923,-0.025813,-0.24388,0.28325,-3.1385,-0.4601942,-0.023374,-0.20819,0.28325
3.0986,-0.9203885,-0.041636,-0.3807,3.1078,-0.7669904,-0.037829,-0.34501,0.28325,3.1155,-0.9203885,-0.034379,-0.32121,0.28325,3.1247,-0.6135923,-0.031167,-0.29147,0.28325,3.1309,-0.7669904,-0.028252,-0.24388,0.28325,3.1385,-0.6135923,-0.025813,-0.24388,0.28325
3.0879,-1.073787,-0.045562,-0.39259,3.0986,-0.9203885,-0.041636,-0.3807,0.28325,3.1078,-0.7669904,-0.037829,-0.34501,0.28325,3.1155,-0.9203885,-0.034379,-0.32121,0.28325,3.1247,-0.6135923,-0.031167,-0.29147,0.28325,3.1309,-0.7669904,-0.028252,-0.24388,0.28325
3.0772,-1.073787,-0.049845,-0.42828,3.0879,-1.073787,-0.045562,-0.39259,0.28325,3.0986,-0.9203885,-0.041636,-0.3807,0.28325,3.1078,-0.7669904,-0.037829,-0.34501,0.28325,3.1155,-0.9203885,-0.034379,-0.32121,0.28325,3.1247,-0.6135923,-0.031167,-0.29147,0.28325
3.0664,-1.073787,-0.054366,-0.45208,3.0772,-1.073787,-0.049845,-0.42828,0.28325,3.0879,-1.073787,-0.045562,-0.39259,0.28325,3.0986,-0.9203885,-0.041636,-0.3807,0.28325,3.1078,-0.7669904,-0.037829,-0.34501,0.28325,3.1155,-0.9203885,-0.034379,-0.32121,0.28325
3.0557,-1.073787,-0.058886,-0.45208,3.0664,-1.073787,-0.054366,-0.45208,0.28325,3.0772,-1.073787,-0.049845,-0.42828,0.28325,3.0879,-1.073787,-0.045562,-0.39259,0.28325,3.0986,-0.9203885,-0.041636,-0.3807,0.28325,3.1078,-0.7669904,-0.037829,-0.34501,0.28325
3.045,-1.073787,-0.063764,-0.48777,3.0557,-1.073787,-0.058886,-0.45208,0.28325,3.0664,-1.073787,-0.054366,-0.45208,0.28325,3.0772,-1.073787,-0.049845,-0.42828,0.28325,3.0879,-1.073787,-0.045562,-0.39259,0.28325,3.0986,-0.9203885,-0.041636,-0.3807,0.28325
3.0327,-1.227185,-0.06888,-0.51156,3.045,-1.073787,-0.063764,-0.48777,0.28325,3.0557,-1.073787,-0.058886,-0.45208,0.28325,3.0664,-1.073787,-0.054366,-0.45208,0.28325,3.0772,-1.073787,-0.049845,-0.42828,0.28325,3.0879,-1.073787,-0.045562,-0.39259,0.28325
3.0204,-1.227185,-0.07465,-0.57699,3.0327,-1.227185,-0.06888,-0.51156,0.28325,3.045,-1.073787,-0.063764,-0.48777,0.28325,3.0557,-1.073787,-0.058886,-0.45208,0.28325,3.0664,-1.073787,-0.054366,-0.45208,0.28325,3.0772,-1.073787,-0.049845,-0.42828,0.28325
3.0097,-1.073787,-0.079646,-0.49967,3.0204,-1.227185,-0.07465,-0.57699,0.28325,3.0327,-1.227185,-0.06888,-0.51156,0.28325,3.045,-1.073787,-0.063764,-0.48777,0.28325,3.0557,-1.073787,-0.058886,-0.45208,0.28325,3.0664,-1.073787,-0.054366,-0.45208,0.28325
2.9959,-1.380583,-0.085833,-0.61863,3.0097,-1.073787,-0.079646,-0.49967,0.28325,3.0204,-1.227185,-0.07465,-0.57699,0.28325,3.0327,-1.227185,-0.06888,-0.51156,0.28325,3.045,-1.073787,-0.063764,-0.48777,0.28325,3.0557,-1.073787,-0.058886,-0.45208,0.28325
2.9851,-1.073787,-0.091186,-0.53536,2.9959,-1.380583,-0.085833,-0.61863,0.28325,3.0097,-1.073787,-0.079646,-0.49967,0.28325,3.0204,-1.227185,-0.07465,-0.57699,0.28325,3.0327,-1.227185,-0.06888,-0.51156,0.28325,3.045,-1.073787,-0.063764,-0.48777,0.28325
2.9729,-1.227185,-0.097373,-0.61863,2.9851,-1.073787,-0.091186,-0.53536,0.28325,2.9959,-1.380583,-0.085833,-0.61863,0.28325,3.0097,-1.073787,-0.079646,-0.49967,0.28325,3.0204,-1.227185,-0.07465,-0.57699,0.28325,3.0327,-1.227185,-0.06888,-0.51156,0.28325
2.9606,-1.227185,-0.10362,-0.62458,2.9729,-1.227185,-0.097373,-0.61863,0.28325,2.9851,-1.073787,-0.091186,-0.53536,0.28325,2.9959,-1.380583,-0.085833,-0.61863,0.28325,3.0097,-1.073787,-0.079646,-0.49967,0.28325,3.0204,-1.227185,-0.07465,-0.57699,0.28325
2.9483,-1.227185,-0.1101,-0.64838,2.9606,-1.227185,-0.10362,-0.62458,0.28325,2.9729,-1.227185,-0.097373,-0.61863,0.28325,2.9851,-1.073787,-0.091186,-0.53536,0.28325,2.9959,-1.380583,-0.085833,-0.61863,0.28325,3.0097,-1.073787,-0.079646,-0.49967,0.28325
2.936,-1.227185,-0.11718,-0.70786,2.9483,-1.227185,-0.1101,-0.64838,0.28325,2.9606,-1.227185,-0.10362,-0.62458,0.28325,2.9729,-1.227185,-0.097373,-0.61863,0.28325,2.9851,-1.073787,-0.091186,-0.53536,0.28325,2.9959,-1.380583,-0.085833,-0.61863,0.28325
2.9253,-1.073787,-0.12331,-0.61269,2.936,-1.227185,-0.11718,-0.70786,0.28325,2.9483,-1.227185,-0.1101,-0.64838,0.28325,2.9606,-1.227185,-0.10362,-0.62458,0.28325,2.9729,-1.227185,-0.097373,-0.61863,0.28325,2.9851,-1.073787,-0.091186,-0.53536,0.28325
2.913,-1.227185,-0.13027,-0.69596,2.9253,-1.073787,-0.12331,-0.61269,0.28325,2.936,-1.227185,-0.11718,-0.70786,0.28325,2.9483,-1.227185,-0.1101,-0.64838,0.28325,2.9606,-1.227185,-0.10362,-0.62458,0.28325,2.9729,-1.227185,-0.097373,-0.61863,0.28325
2.9008,-1.227185,-0.13741,-0.71381,2.913,-1.227185,-0.13027,-0.69596,0.28325,2.9253,-1.073787,-0.12331,-0.61269,0.28325,2.936,-1.227185,-0.11718,-0.70786,0.28325,2.9483,-1.227185,-0.1101,-0.64838,0.28325,2.9606,-1.227185,-0.10362,-0.62458,0.28325
2.89,-1.073787,-0.14472,-0.73165,2.9008,-1.227185,-0.13741,-0.71381,0.28325,2.913,-1.227185,-0.13027,-0.69596,0.28325,2.9253,-1.073787,-0.12331,-0.61269,0.28325,2.936,-1.227185,-0.11718,-0.70786,0.28325,2.9483,-1.227185,-0.1101,-0.64838,0.28325
2.8793,-1.073787,-0.15174,-0.70191,2.89,-1.073787,-0.14472,-0.73165,0.28325,2.9008,-1.227185,-0.13741,-0.71381,0.28325,2.913,-1.227185,-0.13027,-0.69596,0.28325,2.9253,-1.073787,-0.12331,-0.61269,0.28325,2.936,-1.227185,-0.11718,-0.70786,0.28325
2.8685,-1.073787,-0.15912,-0.7376,2.8793,-1.073787,-0.15174,-0.70191,0.28325,2.89,-1.073787,-0.14472,-0.73165,0.28325,2.9008,-1.227185,-0.13741,-0.71381,0.28325,2.913,-1.227185,-0.13027,-0.69596,0.28325,2.9253,-1.073787,-0.12331,-0.61269,0.28325
