x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3
-3.1339,-0.15339808,0.0040476,-0.065432,-3.1324,-0.15339808,0.004702,-0.023794,0.37767,-3.1309,0,0.0049399,0,0.37767,-3.1309,5655.9406,0.0049399,0.49399,0.37767
-3.137,-0.30679616,0.0030364,-0.10112,-3.1339,-0.15339808,0.0040476,-0.065432,0.37767,-3.1324,-0.15339808,0.004702,-0.023794,0.37767,-3.1309,0,0.0049399,0,0.37767
-3.1401,-0.30679616,0.0016683,-0.13681,-3.137,-0.30679616,0.0030364,-0.10112,0.37767,-3.1339,-0.15339808,0.0040476,-0.065432,0.37767,-3.1324,-0.15339808,0.004702,-0.023794,0.37767
3.1385,-0.46019424,-0.00011625,-0.17845,-3.1401,-0.30679616,0.0016683,-0.13681,0.37767,-3.137,-0.30679616,0.0030364,-0.10112,0.37767,-3.1339,-0.15339808,0.0040476,-0.065432,0.37767
3.1324,-0.61359232,-0.0021387,-0.20225,3.1385,-0.46019424,-0.00011625,-0.17845,0.37767,-3.1401,-0.30679616,0.0016683,-0.13681,0.37767,-3.137,-0.30679616,0.0030364,-0.10112,0.37767
3.1263,-0.61359232,-0.0044586,-0.23199,3.1324,-0.61359232,-0.0021387,-0.20225,0.37767,3.1385,-0.46019424,-0.00011625,-0.17845,0.37767,-3.1401,-0.30679616,0.0016683,-0.13681,0.37767
3.1186,-0.76699039,-0.0070759,-0.26173,3.1263,-0.61359232,-0.0044586,-0.23199,0.37767,3.1324,-0.61359232,-0.0021387,-0.20225,0.37767,3.1385,-0.46019424,-0.00011625,-0.17845,0.37767
3.1109,-0.76699039,-0.01005,-0.29742,3.1186,-0.76699039,-0.0070759,-0.26173,0.37767,3.1263,-0.61359232,-0.0044586,-0.23199,0.37767,3.1324,-0.61359232,-0.0021387,-0.20225,0.37767
3.1017,-0.92038847,-0.013262,-0.32121,3.1109,-0.76699039,-0.01005,-0.29742,0.37767,3.1186,-0.76699039,-0.0070759,-0.26173,0.37767,3.1263,-0.61359232,-0.0044586,-0.23199,0.37767
3.0925,-0.92038847,-0.01701,-0.37475,3.1017,-0.92038847,-0.013262,-0.32121,0.37767,3.1109,-0.76699039,-0.01005,-0.29742,0.37767,3.1186,-0.76699039,-0.0070759,-0.26173,0.37767
3.0818,-1.0737866,-0.020876,-0.38665,3.0925,-0.92038847,-0.01701,-0.37475,0.37767,3.1017,-0.92038847,-0.013262,-0.32121,0.37767,3.1109,-0.76699039,-0.01005,-0.29742,0.37767
3.0726,-0.92038847,-0.024862,-0.39854,3.0818,-1.0737866,-0.020876,-0.38665,0.37767,3.0925,-0.92038847,-0.01701,-0.37475,0.37767,3.1017,-0.92038847,-0.013262,-0.32121,0.37767
